code,province,city,latitude,longitude,5minutes
10000,Seoul,Seoul,37.566953,126.977977,67.51
11000,Busan,Busan,35.179884,129.074796,59.1
12000,Daegu,Daegu,35.87215,128.601783,64.86
13000,Gwangju,Gwangju,35.160467,126.851392,87.58
14000,Incheon,Incheon,37.456188,126.70592,55.33
15000,Daejeon,Daejeon,36.350621,127.384744,65.05
16000,Ulsan,Ulsan,35.539797,129.311538,55.96
17000,Sejong,Sejong,36.480132,127.289021,46.33
20000,Gyeonggi-do,Gyeonggi-do,37.275119,127.009466,49.18
30000,Gangwon-do,Gangwon-do,37.885369,127.729868,37.48
40000,Chungcheongbuk-do,Chungcheongbuk-do,36.63568,127.491384,51.96
41000,Chungcheongnam-do,Chungcheongnam-do,36.658976,126.673318,25.49
50000,Jeollabuk-do,Jeollabuk-do,35.820308,127.108791,36.47
51000,Jeollanam-do,Jeollanam-do,34.816095,126.463021,41.11
60000,Gyeongsangbuk-do,Gyeongsangbuk-do,36.576032,128.505599,31.83
61000,Gyeongsangnam-do,Gyeongsangnam-do,35.238294,128.692397,50.64
70000,Jeju-do,Jeju-do,33.488936,126.500423,52.13
