날짜,재난 문자,사회적 거리두기,개학 연기,해외유입,진단 키트
2020-02-01,0.14956,0,0.16707,0,0.07166
2020-02-02,0.10057,0,0.31816,0,0.08645
2020-02-03,0.09188,0,0.2815,0,0.15759
2020-02-04,0.29966,0,0.14956,0,0.18841
2020-02-05,0.3419,0,0.23237,0,0.14625
2020-02-06,0.18159,0,0.12212,0,0.15487
2020-02-07,0.09222,0,0.07193,0,0.16216
2020-02-08,0.09354,0,0.04382,0,0.07378
2020-02-09,0.09991,0,0.04143,0,0.0643
2020-02-10,0.07988,0,0.05482,0,0.08731
2020-02-11,0.06265,0,0.03341,0,0.0647
2020-02-12,0.06331,0,0.03759,0,0.06185
2020-02-13,0.0533,0,0.0293,0,0.04587
2020-02-14,0.06623,0,0.02373,0,0.04024
2020-02-15,0.05138,0,0.01551,0,0.06013
2020-02-16,0.68128,0,0.0228,0,0.09527
2020-02-17,1.03504,0,0.03195,0,0.06742
2020-02-18,0.11535,0,0.03851,0,0.07398
2020-02-19,0.12709,0,0.16839,0,0.08048
2020-02-20,0.14459,0,0.55829,0,0.1133
2020-02-21,0.40388,0,0.77071,0,0.08864
2020-02-22,1.28731,0,1.12779,4.6E-4,0.0779
2020-02-23,1.56954,0,14.23689,0,0.0716
2020-02-24,1.92695,0.00152,0.98777,0.00338,0.12716
2020-02-25,1.89573,0.00245,0.55471,0.00152,0.10773
2020-02-26,1.57445,0.00298,0.94269,9.2E-4,0.16196
2020-02-27,2.47982,0.00265,1.49297,0,0.29701
2020-02-28,1.71599,0.01445,2.77411,0,0.13186
2020-02-29,1.59155,0.05701,7.03239,0,0.11317
2020-03-01,1.24587,0.14459,4.52963,0,0.10037
2020-03-02,1.03054,0.44353,24.21219,0,0.09507
2020-03-03,0.7487,0.62141,1.32125,0,0.08545
2020-03-04,0.83854,8.89709,0.56797,0,0.05283
2020-03-05,0.58978,0.60026,0.49796,0,0.08267
2020-03-06,0.53635,0.50983,0.53336,0,0.16402
2020-03-07,0.5624,0.34097,0.39646,0,0.15778
2020-03-08,0.62731,7.20589,0.57328,3.9E-4,0.19219
2020-03-09,0.65065,19.21741,2.33973,6.6E-4,0.42828
2020-03-10,1.02119,0.4794,31.04244,0,0.40011
2020-03-11,0.64302,0.44479,12.32524,0,0.29025
2020-03-12,0.50917,4.62702,5.92481,0,0.29728
2020-03-13,0.49988,0.37445,9.26398,0,0.26864
2020-03-14,0.40037,0.28117,13.38939,0,0.17462
2020-03-15,0.59389,3.71137,10.06036,0.00172,0.74797
2020-03-16,0.36722,12.50803,26.85364,0.00444,0.5158
2020-03-17,0.43796,1.18063,41.19781,0.0059,0.71389
2020-03-18,1.08901,0.42271,1.84673,0.00795,0.60729
2020-03-19,2.56541,0.39473,0.97657,0.01518,0.41091
2020-03-20,0.44088,3.74147,0.92698,0.01591,0.3171
2020-03-21,0.38466,11.49631,0.91034,0.02293,0.19133
2020-03-22,2.06704,5.72425,1.1748,0.02678,0.24371
2020-03-23,0.43969,18.40671,1.8295,0.03348,0.38247
2020-03-24,0.55412,3.98101,2.72187,0.03772,0.33765
2020-03-25,0.42643,5.03084,4.21961,0.05986,1.06455
2020-03-26,0.49133,25.16788,3.41548,0.07253,1.46293
2020-03-27,0.46866,11.42478,5.28708,0.04574,4.83195
2020-03-28,0.46607,58.54435,12.23275,0.03858,1.64684
2020-03-29,0.35588,64.22777,11.457,0.04137,1.54428
2020-03-30,0.28727,12.20239,100.0,0.03076,1.78229
2020-03-31,0.44764,12.884,48.40052,0.03633,1.40353
2020-04-01,0.47217,3.45075,3.60914,0.02419,1.53089
2020-04-02,0.35641,4.28359,1.82797,0.02559,1.15405
2020-04-03,0.41376,32.47037,1.10605,0.02651,0.81162
2020-04-04,0.30066,21.85064,0.69997,0.03414,0.66251
2020-04-05,0.27241,9.52659,0.8878,0.0413,0.75951
2020-04-06,0.22746,4.83042,0.89529,0.02373,0.77191
2020-04-07,0.27248,3.09414,0.54795,0.01279,0.87712
2020-04-08,0.23356,2.88675,0.44174,0.01107,0.9828
2020-04-09,0.26055,18.18786,0.32273,0.01365,0.80121
2020-04-10,0.26645,2.78711,0.24397,0.01173,0.63951
2020-04-11,0.21387,1.65327,0.18033,0.01074,0.56903
2020-04-12,0.32439,2.26846,0.24921,0.02486,0.45348
2020-04-13,0.26519,24.98867,0.34209,0.01896,1.17241
2020-04-14,0.24251,10.0884,0.22773,0.01478,1.01807
2020-04-15,0.17018,1.2466,0.16607,0.01001,0.46117
2020-04-16,0.20512,7.83459,0.25286,0.00928,0.50565
2020-04-17,0.23774,34.47828,0.2636,0.01856,0.4131
2020-04-18,0.1617,25.4096,0.1794,0.01107,0.2754
2020-04-19,0.2028,42.69648,0.25524,0.011,0.40919
2020-04-20,0.24861,8.181,0.24351,0.01889,0.5984
2020-04-21,0.6234,3.49716,0.14055,0.01379,0.62108
2020-04-22,0.5337,2.51535,0.09812,0.01432,0.47151
2020-04-23,0.15918,6.95316,0.09454,0.01067,0.52309
2020-04-24,0.28528,10.12195,0.08704,0.01054,0.49697
2020-04-25,0.38824,1.1628,0.05986,0.00994,0.29635
2020-04-26,0.14864,1.3182,0.06981,0.01909,0.35005
2020-04-27,0.20764,1.37913,0.11476,0.02008,0.44605
2020-04-28,0.16229,13.34027,0.09381,0.04733,0.4674
2020-04-29,0.12967,2.89577,0.09215,0.02088,0.36092
2020-04-30,0.16468,2.47345,0.0594,0.02559,0.23794
